,발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,발생지시도,발생지시군구,사고유형_대분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,경도,위도
14,2018,2018-08-04 21:30,야,토,1,1,0,0,서울,중랑구,차대사람,보도통행중,운전자법규위반,신호위반,단일로,기타단일로,자전거,보행자,127.08713700000001,37.59046559
15,2018,2018-08-09 10:55,주,목,1,1,0,0,서울,관악구,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,126.9180342,37.47555196
16,2018,2018-03-17 08:00,주,토,1,4,3,0,서울,강남구,차대차,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,특수차,127.04863119999999,37.52935729
17,2018,2018-07-19 03:20,야,목,1,1,0,0,서울,강남구,차대차,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,건설기계,127.0357669,37.52871253
18,2018,2018-09-18 19:30,야,화,1,1,0,0,서울,강서구,차대사람,횡단중,운전자법규위반,신호위반,교차로,교차로내,승합차,보행자,126.86933090000001,37.54864494
19,2018,2018-01-19 07:18,주,금,1,1,0,0,서울,송파구,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,127.1055086,37.51762701
20,2018,2018-04-15 02:12,야,일,1,4,0,3,서울,송파구,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,127.1053044,37.52631541
21,2018,2018-08-22 03:50,야,수,1,1,0,0,서울,송파구,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,127.1194606,37.5066131
22,2018,2018-12-18 22:10,야,화,1,1,0,0,서울,구로구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,보행자,126.8859857,37.49868078
23,2018,2018-05-03 05:31,야,목,1,4,0,3,서울,서초구,차대차,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,127.007544,37.51613248
24,2018,2018-05-17 01:37,야,목,1,1,0,0,서울,양천구,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,이륜차,126.88004840000002,37.54218497
25,2018,2018-06-19 19:20,야,화,1,1,0,0,서울,도봉구,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,127.04365700000001,37.66940705
26,2018,2018-09-10 12:10,주,월,1,1,0,0,서울,은평구,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,126.93226770000001,37.615068799999996
27,2018,2018-01-01 19:17,야,월,1,1,0,0,서울,은평구,차대사람,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,126.92218559999999,37.61771486
28,2018,2018-09-20 23:50,야,목,1,1,0,0,서울,강남구,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,127.0298078,37.49359011
29,2018,2018-01-08 13:08,주,월,1,1,0,0,서울,강남구,차대사람,기타,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,127.05500330000001,37.4893161
30,2018,2018-08-10 00:30,야,금,1,1,0,0,부산,동구,차대사람,기타,운전자법규위반,과속,단일로,기타단일로,승용차,보행자,129.0512513,35.13109241
31,2018,2018-08-22 19:41,야,수,1,1,0,0,부산,동래구,차대사람,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,129.0955973,35.19443107
32,2018,2018-10-06 02:48,야,토,1,1,0,0,부산,동래구,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,129.0778252,35.20119156
33,2018,2018-10-10 06:20,주,수,1,2,1,0,부산,영도구,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,이륜차,없음,129.06373159999998,35.09558877
34,2018,2018-04-17 02:15,야,화,1,2,0,1,부산,해운대구,차량단독,공작물충돌,운전자법규위반,과속,단일로,기타단일로,승용차,없음,129.171072,35.18145782
35,2018,2018-02-20 06:50,주,화,1,1,0,0,부산,부산진구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,129.0205538,35.14875647
36,2018,2018-02-08 23:33,야,목,1,1,0,0,부산,부산진구,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,129.0721332,35.15517659
37,2018,2018-03-12 20:45,야,월,1,1,0,0,부산,부산진구,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,129.0344467,35.16489144
38,2018,2018-05-02 17:35,주,수,1,1,0,0,부산,부산진구,차대사람,기타,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승용차,보행자,129.0384709,35.16752718
39,2018,2018-10-06 02:11,야,토,1,1,0,0,부산,부산진구,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,129.0648916,35.16541253
40,2018,2018-10-19 07:30,주,금,1,1,0,0,부산,금정구,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,129.0911898,35.25796393
41,2018,2018-02-15 05:30,야,목,1,2,0,1,부산,금정구,차대차,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,화물차,129.0913783,35.25124552
42,2018,2018-12-20 18:25,야,목,1,1,0,0,부산,사하구,차대사람,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,128.9602555,35.09220898
43,2018,2018-09-22 10:52,주,토,1,1,0,0,부산,강서구,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,이륜차,128.8950082,35.1945642
44,2018,2018-09-18 14:17,주,화,1,1,0,0,부산,강서구,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,128.90515109999998,35.10355361
45,2018,2018-08-31 00:45,야,금,1,1,0,0,부산,강서구,차량단독,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,128.9661093,35.19724042
46,2018,2018-07-08 04:14,야,일,1,1,0,0,부산,사상구,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,128.9909576,35.16342399
47,2018,2018-07-21 02:45,야,토,1,2,0,0,부산,사상구,차대차,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,이륜차,128.96486470000002,35.13215856
48,2018,2018-09-14 00:49,야,금,1,1,0,0,부산,기장군,차량단독,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,129.1781892,35.33397812
49,2018,2018-02-11 23:29,야,일,1,1,0,0,경남,김해시,차대사람,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,보행자,128.8994551,35.22520409
50,2018,2018-03-19 20:55,야,월,1,2,0,1,경남,김해시,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,터널안,승용차,승용차,128.8529714,35.36826003
51,2018,2018-01-01 03:15,야,월,2,5,2,1,경남,양산시,차대차,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,129.04697779999998,35.36283936
52,2018,2018-10-31 06:20,주,수,1,1,0,0,경기,수원시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,127.0166165,37.27554815
53,2018,2018-08-31 13:15,주,금,1,1,0,0,경기,수원시,차대사람,기타,운전자법규위반,과속,단일로,기타단일로,화물차,보행자,127.0150737,37.28745823
54,2018,2018-06-30 01:55,야,토,1,1,0,0,경기,수원시,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,127.0122611,37.29151195
55,2018,2018-06-22 11:16,주,금,1,1,0,0,경기,수원시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,126.99508529999999,37.30567284
56,2018,2018-12-27 13:50,주,목,1,1,0,0,경기,성남시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,127.14820990000001,37.45127726
57,2018,2018-03-28 20:11,야,수,1,1,0,0,경기,평택시,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,127.05914779999999,37.10771905
58,2018,2018-12-04 00:45,야,화,1,1,0,0,경기,평택시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,126.9381989,36.98636278
59,2018,2018-08-26 20:55,야,일,1,1,0,0,경기,평택시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,127.0570799,37.02401398
60,2018,2018-06-21 20:48,야,목,1,1,0,0,경기,평택시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,126.95637420000001,36.99824716
61,2018,2018-12-30 15:31,주,일,1,2,0,1,경기,평택시,차대차,측면충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,승합차,127.11864779999999,36.99615709
62,2018,2018-06-26 06:10,주,화,4,5,1,0,경기,안성시,차대차,기타,운전자법규위반,과속,교차로,교차로내,승용차,승용차,127.1902716,37.00680425
63,2018,2018-10-06 16:05,주,토,1,1,0,0,경기,안성시,차대사람,보도통행중,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,화물차,보행자,127.23698590000002,37.01300168
64,2018,2018-01-28 23:20,야,일,1,1,0,0,경기,안성시,차량단독,전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,127.2378473,37.0174657
65,2018,2018-08-25 14:40,주,토,1,1,0,0,경기,광주시,차대차,측면충돌,운전자법규위반,중앙선 침범,기타,기타,이륜차,승용차,127.22489270000001,37.45612269
66,2018,2018-01-09 18:40,야,화,1,1,0,0,경기,여주시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,127.6411101,37.26329951
67,2018,2018-12-24 09:30,주,월,1,1,0,0,경기,용인시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,보행자,127.20939170000001,37.23328969
68,2018,2018-04-14 11:12,주,토,1,1,0,0,경기,용인시,차대차,기타,운전자법규위반,신호위반,교차로,교차로내,이륜차,승용차,127.24964229999999,37.3375651
69,2018,2018-08-31 16:34,주,금,1,1,0,0,경기,용인시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,127.3103148,37.1646175
70,2018,2018-06-23 23:30,야,토,2,2,0,0,경기,용인시,차대차,기타,운전자법규위반,과속,교차로,교차로내,승용차,승용차,127.25682179999998,37.22549125
71,2018,2018-05-18 21:13,야,금,1,5,0,4,경기,용인시,차대차,정면충돌,운전자법규위반,중앙선 침범,교차로,교차로부근,화물차,승용차,127.370453,37.16916051
72,2018,2018-03-03 03:23,야,토,1,2,0,1,경기,용인시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,127.2089635,37.23617313
73,2018,2018-09-30 04:40,야,일,1,1,0,0,경기,김포시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,126.6279596,37.64614657
74,2018,2018-07-17 10:30,주,화,1,1,0,0,경기,부천시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,126.8074139,37.47810105
75,2018,2018-12-11 01:15,야,화,1,1,0,0,경기,오산시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,보행자,127.063671,37.17066353
76,2018,2018-05-22 15:15,주,화,1,1,0,0,경기,부천시,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,126.7480545,37.50453525
77,2018,2018-02-05 15:30,주,월,1,1,0,0,경기,광명시,차대차,기타,운전자법규위반,신호위반,교차로,교차로내,화물차,자전거,126.8730735,37.46259479
78,2018,2018-03-31 16:22,주,토,1,1,0,0,경기,광명시,차대차,측면충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,자전거,승용차,126.85003999999999,37.41421149
79,2018,2018-08-09 13:08,주,목,1,1,0,0,경기,군포시,차대사람,보도통행중,운전자법규위반,신호위반,교차로,교차로내,승용차,보행자,126.94353249999999,37.34484107
80,2018,2018-09-17 19:36,야,월,1,1,0,0,경기,군포시,차대차,기타,운전자법규위반,신호위반,교차로,교차로부근,이륜차,승용차,126.95738440000001,37.34968273
81,2018,2018-02-02 21:00,야,금,1,1,0,0,경기,군포시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,126.91472549999999,37.31653393
82,2018,2018-06-20 13:09,주,수,1,1,0,0,경기,성남시,차대차,기타,운전자법규위반,안전운전 의무 불이행,기타,기타,이륜차,승용차,127.10787079999999,37.37738183
83,2018,2018-06-20 06:20,주,수,1,1,0,0,경기,시흥시,차대차,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,자전거,126.7550217,37.34734652
84,2018,2018-06-16 02:43,야,토,1,1,0,0,경기,안산시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,126.8466875,37.31609673
85,2018,2018-05-13 21:06,야,일,1,1,0,0,경기,안산시,차대사람,차도통행중,운전자법규위반,과속,단일로,기타단일로,승용차,보행자,126.8428534,37.28203032
86,2018,2018-04-10 15:35,주,화,1,1,0,0,경기,수원시,차대차,측면충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,자전거,화물차,126.997454,37.25832386
87,2018,2018-04-22 09:30,주,일,1,10,3,2,경기,용인시,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.10359469999999,37.2860472
88,2018,2018-07-20 16:00,주,금,1,4,1,2,서울,송파구,차대차,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차,127.14160590000002,37.4988946
89,2018,2018-05-12 04:25,야,토,1,2,1,0,경기,안성시,차대차,측면충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,승용차,승합차,127.1610254,36.98145698
90,2018,2018-07-23 10:55,주,월,1,4,1,2,경기,평택시,차대차,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,특수차,승용차,126.87101409999998,36.97407285
91,2018,2018-05-29 16:55,주,화,1,1,0,0,경기,화성시,차대사람,횡단중,운전자법규위반,신호위반,단일로,기타단일로,승합차,보행자,126.91627549999998,37.12589621
92,2018,2018-05-25 14:30,주,금,1,1,0,0,경기,화성시,차대차,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,126.89263799999999,37.15227886
93,2018,2018-04-29 22:05,야,일,1,2,1,0,경기,화성시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,126.97392179999999,37.22055229
94,2018,2018-10-02 05:08,야,화,1,2,0,1,경기,화성시,차대차,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,건설기계,126.80549280000001,37.28564788
95,2018,2018-09-22 10:20,주,토,1,1,0,0,경기,부천시,차대차,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,자전거,126.8216248,37.53499553
96,2018,2018-07-02 23:23,야,월,1,1,0,0,경기,부천시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,126.80301750000001,37.53252565
97,2018,2018-08-11 16:55,주,토,1,2,0,1,강원,춘천시,차량단독,전도,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,127.5552473,37.76807153
98,2018,2018-01-18 17:55,주,목,1,1,0,0,강원,강릉시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,128.91345829999997,37.7453224
99,2018,2018-08-08 08:37,주,수,1,1,0,0,강원,강릉시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,128.839056,37.72747196
100,2018,2018-10-23 17:10,주,화,1,1,0,0,강원,원주시,차대사람,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,주차장,주차장,화물차,보행자,127.9414118,37.341207
101,2018,2018-01-02 12:35,주,화,1,1,0,0,강원,속초시,차대차,측면충돌,운전자법규위반,차로위반(진로변경 위반),기타,기타,승용차,이륜차,128.5889813,38.20518929
102,2018,2018-09-19 06:30,주,수,1,2,0,1,강원,양양군,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,기타,기타,농기계,없음,128.6440359,38.03804659
103,2018,2018-05-25 22:35,야,금,1,1,0,0,강원,속초시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,128.5752268,38.19798014
104,2018,2018-08-18 09:55,주,토,1,1,0,0,강원,양양군,차대사람,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,보행자,128.62566529999998,38.00593236
105,2018,2018-11-05 10:05,주,월,1,2,0,1,강원,홍천군,차대차,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,승용차,127.97335819999999,37.67329954
106,2018,2018-03-31 11:20,주,토,2,2,0,0,강원,홍천군,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,128.155894,37.72556488
107,2018,2018-07-15 18:45,야,일,1,1,0,0,강원,평창군,차량단독,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),없음,128.45418030000002,37.52567379999999
108,2018,2018-10-14 15:50,주,일,1,1,0,0,강원,횡성군,차량단독,도로이탈 기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),없음,128.09885559999998,37.5016249
109,2018,2018-10-06 18:20,야,토,2,4,2,0,강원,횡성군,차대차,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,화물차,127.97173329999998,37.49939774
110,2018,2018-04-06 10:10,주,금,1,1,0,0,강원,횡성군,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,128.02565159999997,37.53477361
111,2018,2018-07-08 08:30,주,일,1,1,0,0,강원,인제군,차대차,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,이륜차,128.0624728,37.93703413
112,2018,2018-08-04 23:00,야,토,1,1,0,0,강원,인제군,차대차,측면충돌,운전자법규위반,과속,단일로,기타단일로,승용차,자전거,128.3429126,38.197688
113,2018,2018-04-05 05:43,야,목,1,1,0,0,강원,고성군,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,보행자,128.5085138,38.35634693
114,2018,2018-04-25 23:11,야,수,1,1,0,0,강원,고성군,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,보행자,128.4990611,38.37697706
115,2018,2018-09-18 08:47,주,화,1,1,0,0,강원,고성군,차대차,기타,운전자법규위반,신호위반,교차로,교차로내,건설기계,이륜차,128.5515043,38.25967617
116,2018,2018-09-19 20:35,야,수,1,1,0,0,강원,고성군,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,보행자,128.5088233,38.23059904
117,2018,2018-07-20 19:48,야,금,1,1,0,0,강원,고성군,차량단독,기타,운전자법규위반,안전운전 의무 불이행,기타,기타,이륜차,없음,128.43481809999997,38.37915527
118,2018,2018-05-04 05:18,야,금,1,1,0,0,강원,철원군,차량단독,공작물충돌,운전자법규위반,과속,단일로,기타단일로,승용차,없음,127.4101632,38.2460667
119,2018,2018-11-06 11:45,주,화,1,1,0,0,강원,동해시,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,129.1032045,37.48343766
120,2018,2018-02-21 11:40,주,수,1,1,0,0,강원,동해시,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,이륜차,129.1031018,37.5449518
121,2018,2018-06-29 04:15,야,금,1,2,0,1,강원,춘천시,차대차,추돌,운전자법규위반,안전운전 의무 불이행,기타,기타,화물차,화물차,127.6377315,37.73958876
122,2018,2018-02-14 22:18,야,수,1,1,0,0,충북,청주시,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,127.46280859999999,36.67907766
123,2018,2018-09-07 08:40,주,금,1,1,0,0,충북,청주시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,127.48349270000001,36.67415116
124,2018,2018-01-30 23:09,야,화,1,3,1,1,충북,청주시,차대차,추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,127.51561550000001,36.69136075
125,2018,2018-07-07 05:10,야,토,1,1,0,0,충북,청주시,차대차,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,이륜차,화물차,127.49096019999999,36.64955018
126,2018,2018-05-23 13:05,주,수,1,1,0,0,충북,충주시,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,127.92518899999999,36.95908521
127,2018,2018-09-13 17:30,주,목,1,1,0,0,충북,제천시,차량단독,전도,운전자법규위반,안전운전 의무 불이행,단일로,지하차도(도로)내,자전거,없음,128.2055588,37.1848253
128,2018,2018-02-18 20:50,야,일,2,2,0,0,충북,제천시,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,128.2861364,37.18510226
129,2018,2018-07-26 17:00,주,목,1,2,0,1,충북,제천시,차대차,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,화물차,128.1865938,37.07246564
130,2018,2018-03-19 21:04,야,월,1,1,0,0,충북,증평군,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,127.6001794,36.77299402
131,2018,2018-03-29 14:20,주,목,1,2,1,0,충북,음성군,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,화물차,127.6494622,37.11791837
132,2018,2018-06-11 13:00,주,월,1,6,0,5,충북,음성군,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,승합차,127.6401398,37.10451655
133,2018,2018-12-28 00:18,야,금,1,1,0,0,충북,음성군,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,127.4922812,36.97692862
134,2018,2018-01-17 14:10,주,수,1,1,0,0,충북,음성군,차대차,측면충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,화물차,원동기장치자전거,127.68872579999999,36.941243799999995
135,2018,2018-08-15 13:59,주,수,1,1,0,0,충북,진천군,차량단독,전도,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),없음,127.4601467,36.91354114
136,2018,2018-05-03 15:35,주,목,1,1,0,0,충북,진천군,차대차,기타,운전자법규위반,직진 및 우회전차의 통행방해,교차로,교차로내,승용차,이륜차,127.4371598,36.94903945
137,2018,2018-05-19 17:00,주,토,1,1,0,0,충북,청주시,차량단독,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,농기계,없음,127.41266399999999,36.51393198
138,2018,2018-02-14 22:23,야,수,1,1,0,0,충북,청주시,차량단독,기타,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,없음,127.42831899999999,36.45646144
139,2018,2018-09-09 23:05,야,일,1,1,0,0,충북,청주시,차량단독,전도,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,농기계,없음,127.40832250000001,36.59652508
140,2018,2018-11-09 06:15,주,금,1,1,0,0,충북,청주시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,보행자,127.3621885,36.62428297
141,2018,2018-03-06 01:10,야,화,1,2,0,1,충북,청주시,차대차,추돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,특수차,화물차,127.4798679,36.75542861
142,2018,2018-02-15 05:40,야,목,1,1,0,0,충북,음성군,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,127.48302379999998,37.02412721
143,2018,2018-03-30 14:58,주,금,1,1,0,0,충남,서산시,차대사람,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승합차,보행자,126.45969939999999,36.79103261
144,2018,2018-01-05 18:46,야,금,1,1,0,0,충남,서산시,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,126.45200520000002,36.77169242
145,2018,2018-07-19 12:00,주,목,1,1,0,0,충남,서산시,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,126.42865400000001,36.81917002
